SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539962,QFSL        ,ST,Q,0.32,0.32,0.32,0.32,0.32,0.33,13,13200,4224.00,
539963,ZEAL        ,M ,Q,525.00,525.00,525.00,525.00,525.00,525.00,18,6000,3150000.00,
539978,QUESS       ,B ,Q,960.75,971.80,941.00,962.00,960.05,955.30,296,4263,4077889.00,
539979,DIGJAMLTD   ,B ,Q,10.99,11.45,10.75,11.27,11.39,11.07,159,103444,1147390.00,
539980,MIDCAPIWIN  ,B ,Q,69.16,69.16,69.16,69.16,69.16,68.82,1,1,69.00,
539981,MAXINDIA    ,A ,Q,95.65,95.65,93.25,93.95,94.00,94.65,498,42789,4022929.00,
539982,ASYL        ,M ,Q,32.30,32.30,32.20,32.30,32.30,30.80,10,57500,1856100.00,
539984,HUIL        ,X ,Q,1054.50,1080.00,1002.00,1042.15,1002.10,1054.50,14,344,358994.00,
539985,TITAANIUM   ,M ,Q,9.11,9.62,9.11,9.62,9.62,10.00,2,16000,149840.00,
539986,COMSYN      ,M ,Q,45.00,45.00,43.00,43.85,43.00,45.00,7,45000,2014500.00,
539992,LLOYDSTEEL  ,T ,Q,1.43,1.45,1.36,1.39,1.39,1.43,209,484115,668835.00,
539997,KPL         ,MT,Q,57.90,57.90,56.40,56.40,56.40,59.00,2,15000,864000.00,
540005,LTI         ,A ,Q,1376.50,1420.00,1376.50,1404.95,1403.00,1374.30,1628,29575,41477589.00,
540006,BULL        ,X ,Q,82.00,82.40,80.00,80.05,80.00,80.15,278,161797,13020790.00,
540023,MIENT       ,X ,Q,34.00,34.00,29.00,31.35,31.95,31.05,58,4846,150791.00,
540024,ASHARI      ,X ,Q,54.40,55.00,53.80,54.15,54.00,54.40,2582,40015,2184589.00,
540025,ADVENZYMES  ,A ,Q,222.00,224.65,212.60,214.50,214.50,220.05,1293,56636,12330933.00,
540027,PTIL        ,M ,Q,250.50,255.00,250.50,255.00,255.00,250.05,21,48000,12141000.00,
540047,DBL         ,A ,Q,999.00,1010.90,981.00,1004.80,1004.80,984.75,2744,48828,48752415.00,
540048,SPAL        ,B ,Q,345.50,350.00,335.55,338.50,338.50,340.50,51,2510,854629.00,
540056,AXISHB32GP  ,F ,Q,11.00,11.00,11.00,11.00,11.00,11.00,1,1,11.00,
540061,BIGBLOC     ,B ,Q,170.15,172.70,160.00,169.45,171.60,167.60,382,12364,2078369.00,
540063,ECS         ,X ,Q,8.44,8.44,8.44,8.44,8.44,8.44,6,157,1325.00,
540064,FRETAIL     ,A ,Q,498.15,502.00,482.00,497.70,497.70,492.85,544,16481,8126933.00,
540065,RBLBANK     ,A ,Q,454.00,457.95,443.00,455.50,455.90,453.15,2035,93231,42035268.00,
540071,CAMSONSEEDS ,XT,Q,27.00,27.20,25.65,26.45,26.90,26.95,55,18359,476052.00,
540072,SHIVAEXPO   ,M ,Q,17.30,17.30,17.25,17.25,17.25,18.10,2,20000,345500.00,
540073,BLS         ,B ,Q,155.00,156.00,130.00,145.80,145.80,152.80,1712,109701,15837636.00,
540078,MITSU       ,M ,Q,149.00,156.00,149.00,156.00,156.00,154.00,2,2400,366000.00,
540080,NARAYANI    ,M ,Q,54.00,54.00,54.00,54.00,54.00,55.50,1,4000,216000.00,
540081,GOVNOW      ,T ,Q,9.08,9.55,9.08,9.17,9.08,9.55,8,2300,21844.00,
540082,RSTL        ,M ,Q,41.10,44.95,41.10,44.95,44.95,45.05,3,9000,381450.00,
540083,TVVISION    ,B ,Q,14.80,15.35,14.50,14.60,14.60,15.10,64,14390,212858.00,
540084,SPICY       ,M ,Q,10.80,10.80,10.80,10.80,10.80,10.90,5,50000,540000.00,
540108,TAHL        ,X ,Q,9.05,9.05,9.05,9.05,9.05,9.23,6,3800,34390.00,
540115,LTTS        ,A ,Q,1329.90,1330.00,1276.00,1286.70,1290.20,1297.60,548,7475,9708746.00,
540124,GNA         ,B ,Q,434.10,438.70,425.00,433.75,432.20,431.95,560,12181,5238854.00,
540125,RADHIKAJWE  ,M ,Q,25.80,25.80,25.80,25.80,25.80,27.15,3,4800,123840.00,
540133,ICICIPRULI  ,B ,Q,389.00,391.25,382.05,388.70,388.70,381.85,893,30276,11709276.00,
540134,IISL        ,X ,Q,19.40,19.40,19.15,19.30,19.35,19.50,223,9835,189915.00,
540136,HPL         ,B ,Q,127.00,127.50,122.00,125.30,125.30,126.35,218,10997,1367470.00,
540143,SAGARSOFT   ,X ,Q,78.70,86.30,78.30,83.85,83.85,82.40,77,4003,330011.00,
540144,DRA         ,M ,Q,28.50,28.50,27.50,27.50,27.50,29.75,2,5000,140000.00,
540145,VALIANTORG  ,M ,Q,805.00,820.00,805.00,820.00,820.00,830.00,2,600,487500.00,
540146,ACML        ,M ,Q,190.65,220.00,190.65,217.25,219.00,211.80,9,58000,12441800.00,
540147,SHASHIJIT   ,M ,Q,34.85,34.85,32.75,33.15,32.75,32.65,5,20000,669800.00,
540148,BINDALEXPO  ,M ,Q,16.20,16.20,16.20,16.20,16.20,17.30,1,8000,129600.00,
540150,MHEL        ,M ,Q,24.25,24.25,24.25,24.25,24.25,24.00,1,6000,145500.00,
540151,DIKSAT      ,M ,Q,68.00,68.00,68.00,68.00,68.00,72.00,1,3000,204000.00,
540152,IGRL        ,M ,Q,16.25,16.25,16.25,16.25,16.25,17.10,1,4000,65000.00,
540153,ENDURANCE   ,B ,Q,1241.40,1265.60,1228.05,1231.00,1229.50,1235.65,222,1480,1831271.00,
540154,IDFSENSEXE  ,B ,Q,340.00,340.00,329.90,329.90,329.90,345.00,2,2,669.00,
540173,PNBHOUSING  ,A ,Q,1133.00,1137.85,1092.00,1117.75,1103.00,1130.65,1868,33043,36738706.00,
540175,REGENCY     ,XT,Q,37.75,37.75,35.65,37.45,36.90,37.50,60,10057,370698.00,
540180,VBL         ,B ,Q,622.60,634.95,622.25,633.05,634.95,620.95,174,3654,2302284.00,
540189,UPROTECH    ,XT,Q,3.40,3.40,3.40,3.40,3.40,3.57,1,500,1700.00,
540192,LKPSEC      ,X ,Q,19.80,19.80,16.60,18.00,17.90,18.00,115,15984,292956.00,
540203,SFL         ,B ,Q,1534.20,1599.00,1534.20,1579.15,1580.00,1550.00,39,2291,3582767.00,
540204,NIDL        ,XT,Q,47.10,47.10,47.10,47.10,47.10,49.55,1,100,4710.00,
540210,TMRVL       ,B ,Q,122.00,123.00,117.00,119.90,120.00,122.15,112,7724,920979.00,
540212,TCIEXP      ,B ,Q,496.50,496.60,470.00,480.45,482.75,478.20,77,1592,757534.00,
540222,LAURUSLABS  ,A ,Q,520.60,525.00,513.00,517.90,517.90,520.70,638,17429,9060924.00,
540243,NEWLIGHT    ,XT,Q,27.45,27.45,26.50,27.20,27.30,26.85,75,5727,155914.00,
540252,VOL         ,M ,Q,55.70,57.90,55.70,56.00,56.00,58.00,3,4500,254400.00,
540253,SNTCL       ,XT,Q,19.40,19.40,19.40,19.40,19.40,19.40,1,1,19.00,
540259,SHANGAR     ,XT,Q,16.00,16.00,15.00,15.00,15.75,15.25,8,1807,28361.00,
540267,FLORACORP   ,XT,Q,11.56,11.56,11.56,11.56,11.56,11.79,13,4738,54771.00,
540293,PRICOLLTD   ,B ,Q,87.95,87.95,83.10,85.80,85.50,84.40,538,70844,6066831.00,
540311,JITFINFRA   ,T ,Q,38.00,38.90,37.05,37.90,37.95,37.70,49,19588,736996.00,
540332,TANVI       ,M ,Q,66.25,66.25,66.25,66.25,66.25,70.00,1,2000,132500.00,
540336,AXISE2GPG   ,B ,Q,8.70,8.70,8.70,8.70,8.70,8.67,1,10,87.00,
540358,RMC         ,M ,Q,66.60,69.85,66.60,69.85,69.85,66.60,2,8000,545800.00,
540360,LLFICL      ,XT,Q,18.70,18.70,18.70,18.70,18.70,18.75,9,5228,97763.00,
540361,DANUBE      ,XT,Q,3.48,3.48,3.48,3.48,3.48,3.48,4,5000,17400.00,
540366,RADIOCITY   ,B ,Q,376.85,379.95,372.60,376.55,379.75,374.25,7,90,33906.00,
540376,DMART       ,A ,Q,1310.00,1330.20,1272.00,1289.55,1289.55,1298.75,5635,122836,159045771.00,
540395,CHEMCRUX    ,M ,Q,35.00,35.70,33.25,33.95,35.70,35.00,7,28000,949800.00,
540396,MANOMAY     ,M ,Q,48.30,48.30,48.30,48.30,48.30,47.05,1,4000,193200.00,
540403,CLEDUCATE   ,B ,Q,208.00,208.00,202.20,205.85,207.00,210.50,53,1535,315880.00,
540404,PRIME       ,M ,Q,162.40,162.40,162.40,162.40,162.40,181.85,1,1000,162400.00,
540405,OCEANIC     ,M ,Q,148.00,148.00,148.00,148.00,148.00,148.50,1,1000,148000.00,
540416,OCTAWARE    ,M ,Q,82.00,82.00,79.00,80.50,80.50,84.65,3,4800,386400.00,
540425,SHANKARA    ,B ,Q,1725.00,1757.45,1668.90,1719.10,1719.10,1715.40,1522,18601,31987209.00,
540468,KMSMEDI     ,M ,Q,30.10,30.10,30.10,30.10,30.10,30.10,1,4000,120400.00,
540492,PGL         ,M ,Q,14.70,14.93,14.70,14.93,14.93,14.70,2,20000,296300.00,
